addrD,Read_Value
3072,0
3073,63
3074,0
3075,0
3076,7
3077,0
3078,0
3079,0
3080,0
3081,0
3082,0
3083,0
3084,128
3085,0
3086,0
3087,0
3088,31
3089,63
3090,63
3584,31
3585,0
3586,128
3587,90
3588,0
3589,20
3590,0
3591,55
3592,0
3593,45
3594,0
3595,92
3596,0
3597,90
3598,0
3599,87
3600,0
7168,0
7169,63
7170,0
7171,0
7172,7
7173,0
7174,0
7175,0
7176,0
7177,0
7178,0
7179,0
7180,128
7181,0
7182,0
7183,0
7184,31
7185,63
7186,63
7680,0
7681,0
7682,128
7683,90
7684,0
7685,20
7686,0
7687,55
7688,0
7689,45
7690,0
7691,92
7692,0
7693,90
7694,0
7695,87
7696,0
11264,0
11265,63
11266,0
11267,0
11268,7
11269,0
11270,0
11271,0
11272,0
11273,0
11274,0
11275,0
11276,128
11277,0
11278,0
11279,0
11280,31
11281,63
11282,63
11776,0
11777,0
11778,128
11779,90
11780,0
11781,20
11782,0
11783,55
11784,0
11785,45
11786,0
11787,92
11788,0
11789,90
11790,0
11791,87
11792,0
15360,0
15361,63
15362,0
15363,0
15364,7
15365,0
15366,0
15367,0
15368,0
15369,0
15370,0
15371,0
15372,128
15373,0
15374,0
15375,0
15376,31
15377,63
15378,63
15872,0
15873,0
15874,128
15875,90
15876,0
15877,20
15878,0
15879,55
15880,0
15881,45
15882,0
15883,92
15884,0
15885,90
15886,0
15887,87
15888,0
19456,0
19457,63
19458,0
19459,0
19460,7
19461,0
19462,0
19463,0
19464,0
19465,0
19466,0
19467,0
19468,128
19469,0
19470,0
19471,0
19472,31
19473,63
19474,63
19968,0
19969,0
19970,128
19971,90
19972,0
19973,20
19974,0
19975,55
19976,0
19977,45
19978,0
19979,92
19980,0
19981,90
19982,0
19983,87
19984,0
23552,0
23553,63
23554,0
23555,0
23556,7
23557,0
23558,0
23559,0
23560,0
23561,0
23562,0
23563,0
23564,128
23565,0
23566,0
23567,0
23568,31
23569,63
23570,63
24064,0
24065,0
24066,128
24067,90
24068,0
24069,20
24070,0
24071,55
24072,0
24073,45
24074,0
24075,92
24076,0
24077,90
24078,0
24079,87
24080,0
27648,0
27649,63
27650,0
27651,0
27652,7
27653,0
27654,0
27655,0
27656,0
27657,0
27658,0
27659,0
27660,128
27661,0
27662,0
27663,0
27664,31
27665,63
27666,63
28160,0
28161,0
28162,128
28163,90
28164,0
28165,20
28166,0
28167,55
28168,0
28169,45
28170,0
28171,92
28172,0
28173,90
28174,0
28175,87
28176,0
31744,0
31745,63
31746,0
31747,0
31748,7
31749,0
31750,0
31751,0
31752,0
31753,0
31754,0
31755,0
31756,128
31757,0
31758,0
31759,0
31760,31
31761,63
31762,63
32256,0
32257,0
32258,128
32259,90
32260,0
32261,20
32262,0
32263,55
32264,0
32265,45
32266,0
32267,92
32268,0
32269,90
32270,0
32271,87
32272,0
34304,1
34305,0
34306,0
34307,0
34308,0
34309,0
34310,63
34311,0
34312,0
34313,0
34314,90
34315,0
34316,0
34317,0
34318,30
34319,0
34320,0
34321,0
34322,90
34323,0
34324,0
34325,0
34326,30
34327,0
34328,0
34329,255
34330,0
34331,0
34332,0
34333,0
34334,0
34335,0
34336,0
34337,0
34338,0
34339,0
34340,0
34341,0
34342,0
34343,1
34344,0
34345,170
34813,1
34816,240
34817,5
34818,240
34819,5
35328,240
35329,240
35330,240
35331,240
35332,240
35333,240
35334,16
35335,16
35336,13
35337,16
35338,10
35339,10
35340,16
35341,10
35342,32
35343,0
35344,0
35345,2
35346,0
35347,0
35348,0
35349,0
35350,2
35351,17
35352,0
35353,0
35354,0
35355,0
35356,15
35357,0
35358,0
35359,0
